Date,Worker,Company,Hours,"Rate per Hour",Taxable,Status,"Shift Type","Paid At"
2023-04-03,"Mason Richards","Miller Ltd",2,£11,Yes,Complete,Day,"2023-05-26 19:56:44"
2023-04-03,"Dale Khan","White Ltd",14,£13.26,Yes,Pending,Day,
2023-04-03,"Mary Jones","Williams Ltd",10,£11,Yes,Pending,Day,
2023-04-03,"Poppy Hill","Holmes Ltd",16,£16,Yes,Complete,Day,"2023-04-28 03:47:48"
2023-04-03,"Sophia Murray","Shaw Ltd",2,£15.09,Yes,Complete,Night,"2023-05-31 15:48:11"
2023-04-03,"Kirsten Cox","Robinson Ltd",1,£14,Yes,Complete,Day,"2023-05-16 23:12:48"
2023-04-03,"Elliot Saunders","Chapman Ltd",3,£15.93,Yes,Pending,Day,
2023-04-03,"Michael Bennett","Clark Ltd",10,£12.15,Yes,Complete,Day,"2023-05-18 04:26:31"
2023-04-03,"Kimberly Richards","Stewart Ltd",13,£12,Yes,Complete,Day,"2023-05-18 21:02:05"
2023-04-03,"Eden Graham","Bennett Ltd",2,£12,Yes,Complete,Day,"2023-05-18 00:05:22"
2023-04-03,"Elliott Jackson","Murray Ltd",3,£10,Yes,Pending,Day,
2023-04-03,"Abigail Lewis","Davies Ltd",9,£19,Yes,Complete,Day,"2023-05-10 08:31:18"
2023-04-03,"Sarah Butler","Rogers Ltd",1,£18,No,Pending,Day,
2023-04-03,"Sarah Butler","Davis Ltd",16,£15,No,Complete,Day,"2023-05-03 03:21:02"
2023-04-03,"Sofia Palmer","Griffiths Ltd",8,£18,Yes,Complete,Day,"2023-05-01 02:27:13"
2023-04-03,"Sarah Butler","Cooper Ltd",11,£12,Yes,Complete,Night,"2023-05-10 13:54:00"
2023-04-03,"Charles Hunt","Simpson Ltd",16,£18,No,Complete,Day,"2023-05-20 17:59:21"
2023-04-03,"Dale Khan","Jackson Ltd",10,£18,No,Pending,Day,
2023-04-03,"Louis Williams","Baker Ltd",16,£15,Yes,Complete,Night,"2023-04-09 13:38:34"
2023-04-03,"Isobel Stevens","Wilson Ltd",4,£18,Yes,Complete,Night,"2023-04-15 02:53:16"
2023-04-03,"Candice Wright","Powell Ltd",3,£11.24,Yes,Complete,Day,"2023-04-09 05:00:00"
2023-04-03,"Will Wilson","Robertson Ltd",8,£17,Yes,Pending,Day,
2023-04-03,"Freya Patel","Cooper Ltd",16,£13,No,Pending,Night,
2023-04-03,"Poppy Hill","James Ltd",2,£12,Yes,Complete,Day,"2023-04-13 17:14:57"
2023-04-03,"Freya Patel","Wilson Ltd",8,£20,Yes,Complete,Night,"2023-04-06 15:45:44"
2023-04-03,"Eden Parker","Bailey Ltd",3,£17.2,Yes,Complete,Night,"2023-05-11 06:55:27"
